Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
54,Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.97,0.8,0.03,0.27,3.07
55,Kung Fu Panda,X360,2008,Platform,Activision,1.9,0.84,0,0.29,3.03
56,Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.88,0.82,0.03,0.23,2.97
57,Saints Row 2,X360,2008,Action,THQ,1.88,0.79,0.02,0.27,2.96
58,Borderlands 2,X360,2012,Shooter,Take-Two Interactive,1.82,0.87,0.04,0.23,2.95
59,Far Cry 3,X360,2012,Shooter,Ubisoft,1.34,1.31,0.02,0.27,2.95
60,NBA 2K13,X360,2012,Action,Take-Two Interactive,2.52,0.2,0.01,0.18,2.9
61,Sega Superstars Tennis,X360,2008,Sports,Sega,1.75,0.86,0,0.28,2.89
62,Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.8,0.78,0.03,0.26,2.87
63,Street Fighter IV,X360,2009,Fighting,Capcom,1.76,0.69,0.15,0.25,2.85
64,Madden NFL 10,X360,2009,Sports,Electronic Arts,2.51,0.09,0,0.22,2.81
65,Madden NFL 13,X360,2012,Sports,Electronic Arts,2.48,0.15,0,0.17,2.8
66,BioShock,X360,2007,Shooter,Take-Two Interactive,1.61,0.85,0.05,0.27,2.78
67,Saints Row: The Third,X360,2011,Action,THQ,1.21,1.14,0.07,0.3,2.71
68,Star Wars: The Force Unleashed,X360,2008,Action,LucasArts,1.67,0.76,0,0.25,2.68
69,Call of Duty 3,X360,2006,Shooter,Activision,1.47,0.91,0.02,0.27,2.67
70,FIFA 15,X360,2014,Sports,Electronic Arts,0.6,1.76,0,0.3,2.66
71,Madden NFL 12,X360,2011,Sports,Electronic Arts,2.39,0.11,0,0.16,2.65
72,Madden NFL 11,X360,2010,Sports,Electronic Arts,2.35,0.12,0,0.18,2.64
73,Guitar Hero: World Tour,X360,2008,Misc,Activision,1.75,0.63,0,0.24,2.63
74,L.A. Noire,X360,2011,Adventure,Take-Two Interactive,1.45,0.91,0.02,0.23,2.61
75,FIFA Soccer 10,X360,2009,Sports,Electronic Arts,0.58,1.78,0.01,0.23,2.6
76,Medal of Honor,X360,2010,Shooter,Electronic Arts,1.52,0.8,0.04,0.21,2.57
77,NBA 2K12,X360,2011,Sports,Take-Two Interactive,2.26,0.14,0.01,0.15,2.56
78,Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1.73,0.55,0.03,0.22,2.52
79,Madden NFL 09,X360,2008,Sports,Electronic Arts,2.2,0.12,0,0.2,2.52
80,Halo Wars,X360,2009,Strategy,Microsoft Game Studios,1.45,0.79,0.04,0.23,2.51
81,Grand Theft Auto: Episodes from Liberty City,X360,2009,Adventure,Take-Two Interactive,0.99,1.21,0.03,0.27,2.49
82,Marvel: Ultimate Alliance,X360,2006,Role-Playing,Activision,2.28,0.02,0,0.19,2.48
